
BROOKLYN NETS

Greg Smith
Dunk: 5
Post: 50
Drive: 0
Jumper: 45
Threes: 0
FGD: 84/88
FGI: 47/47
FGJ: 39/40
FT: 60/63
FG3: 8/8
SCR: 46/51
PAS: 36/44
HDL: 45/53
ORB: 54/55
DRB: 62/77
BLK: 46/57
STL: 40/53
DRFL: 12/12
DEF: 61/61
DIS: 51/51
IQ: 76/76

Mike Scott
Dunk: 4
Post: 6
Drive: 30
Jumper: 40
Threes: 20
FGD: 84/84
FGI: 45/45
FGJ: 44/44
FT: 54/54
FG3: 22/22
SCR: 62/64
PAS: 45/45
HDL: 49/60
ORB: 48/48
DRB: 51/56
BLK: 36/36
STL: 53/70
DRFL: 6/7
DEF: 51/51
DIS: 64/64
IQ: 69/69

Dominic McGuire
Dunk: 5
Post: 25
Drive: 10
Jumper: 50
Threes: 10
FGD: 83/83
FGI: 43/43
FGJ: 41/41
FT: 67/70
FG3: 21/24
SCR: 45/45
PAS: 44/44
HDL: 43/65
ORB: 52/57
DRB: 55/55
BLK: 41/41
STL: 46/58
DRFL: 4/4
DEF: 73/86
DIS: 71/78
IQ: 60/67

Jae Crowder
Dunk: 5
Post: 45
Drive: 10
Jumper: 40
Threes: 0
FGD: 86/87
FGI: 41/42
FGJ: 39/39
FT: 66/68
FG3: 13/15
SCR: 52/52
PAS: 49/49
HDL: 45/45
ORB: 63/67
DRB: 59/59
BLK: 28/28
STL: 44/62
DRFL: 4/4
DEF: 59/59
DIS: 84/92
IQ: 77/77

Maalik Wayns
Dunk: 5
Post: 0
Drive: 30
Jumper: 46
Threes: 19
FGD: 82/82
FGI: 45/46
FGJ: 40/44
FT: 81/83
FG3: 33/34
SCR: 70/81
PAS: 79/82
HDL: 76/91
ORB: 37/50
DRB: 45/58
BLK: 31/47
STL: 73/73
DRFL: 6/8
DEF: 63/63
DIS: 71/89
IQ: 72/72

