
NEW ORLEANS HORNETS

Isaiah Austin
Dunk: 10
Post: 45
Drive: 10
Jumper: 23
Threes: 12
FGD: 87/87
FGI: 50/50
FGJ: 46/46
FT: 65/65
FG3: 37/37
SCR: 59/85
PAS: 37/55
HDL: 73/73
ORB: 63/83
DRB: 60/78
BLK: 42/46
STL: 45/45
DRFL: 6/7
DEF: 62/83
DIS: 48/57
IQ: 67/86

Nemanja Bjelica
Dunk: 5
Post: 5
Drive: 30
Jumper: 35
Threes: 25
FGD: 83/86
FGI: 46/46
FGJ: 43/43
FT: 63/65
FG3: 35/36
SCR: 53/67
PAS: 67/100
HDL: 92/100
ORB: 64/64
DRB: 64/64
BLK: 28/28
STL: 49/49
DRFL: 8/8
DEF: 45/45
DIS: 44/59
IQ: 70/77

Cory Joseph
Dunk: 5
Post: 5
Drive: 10
Jumper: 40
Threes: 40
FGD: 84/86
FGI: 46/46
FGJ: 45/45
FT: 84/84
FG3: 41/41
SCR: 67/70
PAS: 61/61
HDL: 53/62
ORB: 38/38
DRB: 44/50
BLK: 36/44
STL: 76/76
DRFL: 7/7
DEF: 59/59
DIS: 79/82
IQ: 67/68

Henry Sims
Dunk: 5
Post: 40
Drive: 2
Jumper: 52
Threes: 1
FGD: 81/81
FGI: 51/51
FGJ: 47/47
FT: 70/71
FG3: 29/29
SCR: 64/68
PAS: 46/53
HDL: 55/62
ORB: 63/70
DRB: 63/63
BLK: 51/51
STL: 45/45
DRFL: 22/23
DEF: 66/66
DIS: 54/59
IQ: 81/95

Maalik Wayns
Dunk: 5
Post: 0
Drive: 30
Jumper: 46
Threes: 19
FGD: 82/83
FGI: 42/44
FGJ: 39/40
FT: 84/84
FG3: 31/35
SCR: 76/76
PAS: 79/79
HDL: 72/76
ORB: 31/31
DRB: 46/46
BLK: 31/46
STL: 68/68
DRFL: 7/7
DEF: 60/63
DIS: 74/78
IQ: 75/81

