
NEW YORK KNICKS

Michael Snaer
Dunk: 5
Post: 0
Drive: 16
Jumper: 42
Threes: 37
FGD: 79/79
FGI: 43/43
FGJ: 44/44
FT: 59/59
FG3: 28/28
SCR: 49/49
PAS: 58/58
HDL: 41/45
ORB: 37/37
DRB: 37/52
BLK: 31/31
STL: 61/61
DRFL: 10/10
DEF: 57/68
DIS: 64/64
IQ: 64/64

Kevin Seraphin
Dunk: 5
Post: 40
Drive: 5
Jumper: 50
Threes: 0
FGD: 87/87
FGI: 43/44
FGJ: 42/42
FT: 67/67
FG3: 3/5
SCR: 66/66
PAS: 27/39
HDL: 37/46
ORB: 50/60
DRB: 55/60
BLK: 58/58
STL: 33/33
DRFL: 4/9
DEF: 57/57
DIS: 48/48
IQ: 63/63

Tornike Shengelia
Dunk: 5
Post: 10
Drive: 15
Jumper: 50
Threes: 20
FGD: 79/81
FGI: 45/45
FGJ: 32/33
FT: 66/69
FG3: 26/26
SCR: 43/46
PAS: 32/39
HDL: 33/49
ORB: 35/35
DRB: 50/50
BLK: 38/42
STL: 43/43
DRFL: 2/5
DEF: 39/39
DIS: 63/63
IQ: 50/51

Jared Cunningham
Dunk: 5
Post: 10
Drive: 50
Jumper: 25
Threes: 10
FGD: 83/83
FGI: 44/46
FGJ: 41/41
FT: 84/85
FG3: 22/22
SCR: 50/76
PAS: 50/62
HDL: 47/71
ORB: 36/43
DRB: 35/35
BLK: 31/44
STL: 47/51
DRFL: 14/20
DEF: 42/48
DIS: 49/63
IQ: 63/90

Gary Forbes
Dunk: 5
Post: 5
Drive: 16
Jumper: 46
Threes: 28
FGD: 82/84
FGI: 42/45
FGJ: 38/41
FT: 75/75
FG3: 35/35
SCR: 55/55
PAS: 30/30
HDL: 50/50
ORB: 38/38
DRB: 40/50
BLK: 32/37
STL: 47/47
DRFL: 2/2
DEF: 49/71
DIS: 55/74
IQ: 58/75

