FirstName	LastName	Position	Age	Height	Weight	Dunk	Post	Drive	Jumper	Three	FGD	FGI	FGJ	FG3	FT	SCR	PAS	HDL	ORB	DRB	DEF	BLK	STL	DRFL	DIS	IQ	FGD	FGI	FGJ	FG3	FT	SCR	PAS	HDL	ORB	DRB	DEF	BLK	STL	DRFL	DIS	IQ	CON	GRE	LOY	PFW	PT	PER	DUR	WE	POP
Bradley	Beal	2	18	6-5	203	5	12	30	6	47	85	47	43	37	73	53	45	49	51	54	52	39	57	8	78	70	85	47	43	37	73	63	54	62	51	66	54	39	62	12	86	70	62	30	41	35	92	60	40	67	58
Reggie	Bullock	2	21	6-7	190	2	5	17	31	45	85	49	43	38	80	57	40	40	39	45	50	32	45	2	77	65	85	49	43	38	80	62	44	46	39	45	69	32	53	2	77	65	99	36	79	58	38	50	74	93	39
Cameron	Clark	3	20	6-6	190	5	20	12	37	26	85	47	42	29	67	51	45	40	27	53	42	35	47	2	70	70	85	47	42	29	67	51	45	40	27	53	42	35	47	2	95	78	89	67	61	69	47	48	35	92	98
Anthony	Davis	4	19	6-10	220	10	41	10	34	5	85	65	34	15	67	47	40	43	68	64	56	63	47	8	35	57	85	65	34	15	67	60	40	54	85	83	83	87	64	9	82	74	78	93	37	89	98	93	64	66	92
Andre	Drummond	5	18	7-0	278	10	30	10	41	9	85	59	38	1	28	60	36	21	65	51	59	57	52	8	32	47	85	59	38	1	28	87	66	38	95	61	88	77	52	14	75	59	35	86	37	57	92	57	79	32	76
Yancy	Gates	4	22	6-9	260	5	29	12	50	4	85	50	44	21	60	62	34	39	62	63	57	45	46	7	49	64	85	50	44	21	60	72	34	39	71	63	63	50	46	7	59	64	35	87	89	73	93	37	58	31	41
JaMychal	Green	4	21	6-9	217	5	25	12	58	0	85	52	46	37	86	63	59	37	71	62	57	43	62	14	60	90	85	52	46	37	86	84	62	48	73	74	61	49	63	14	68	90	48	40	32	92	58	56	48	49	76
Manny	Harris	2	22	6-5	170	0	0	30	40	30	85	44	40	35	76	57	44	65	35	52	44	30	59	6	57	62	85	44	40	35	76	69	44	65	35	52	52	30	66	6	64	62	87	100	79	46	43	40	42	61	91
Charles	Jenkins	1	23	6-3	220	2	5	39	20	34	85	43	47	36	84	46	49	68	31	39	54	22	49	6	61	69	85	43	47	36	84	58	64	82	32	41	64	23	58	9	68	77	81	54	61	72	66	89	92	91	44
Milton	Jennings	3	21	6-9	225	5	20	12	29	34	85	44	39	24	67	53	45	41	39	50	47	35	47	9	62	71	85	44	39	24	67	53	45	41	39	61	47	35	47	9	62	71	61	55	94	82	51	43	63	87	65
Terrence	Jennings	4	23	6-9	220	5	20	12	63	0	85	59	37	1	58	59	38	29	60	60	69	64	47	9	68	61	85	59	37	1	58	59	38	29	60	60	69	64	47	9	68	61	45	46	72	63	54	61	73	74	31
Lamont	Jones	1	21	6-0	196	2	5	17	51	25	85	45	42	35	60	44	48	71	30	35	51	30	50	2	40	45	85	45	42	35	60	52	54	81	30	35	54	30	54	2	40	50	58	47	59	90	38	40	58	66	69
Michael	Kidd-Gilchrist	3	18	6-7	228	5	20	43	20	12	85	56	40	26	71	43	40	39	61	61	61	43	45	9	61	68	85	56	40	26	71	51	44	45	76	63	92	43	55	18	84	77	91	89	47	96	92	69	94	99	82
Kyle	Kuric	2	22	6-4	195	2	5	17	31	45	85	41	42	37	77	54	33	78	30	54	50	30	40	6	57	54	85	41	42	37	77	60	33	78	30	54	52	30	45	6	57	61	55	35	74	81	79	91	36	56	68
Jeremy	Lamb	2	20	6-5	179	5	10	30	9	46	85	51	47	34	77	67	42	44	42	53	57	36	57	9	92	63	85	51	47	34	77	67	42	44	42	53	72	36	57	9	95	63	39	56	66	62	73	66	53	43	63
Malcolm	Lee	1	21	6-5	200	2	5	17	35	41	85	44	40	31	65	47	54	59	42	47	70	30	62	7	67	50	85	44	40	31	65	59	72	61	42	47	70	30	62	7	67	54	78	62	41	69	98	58	73	45	90
Kendall	Marshall	1	20	6-4	198	5	15	15	30	35	85	46	42	33	66	33	71	69	29	36	42	29	53	6	87	87	85	46	42	33	66	47	92	81	29	40	54	29	57	6	93	95	82	63	81	91	87	84	34	76	52
Khris	Middleton	3	20	6-8	215	5	20	32	12	31	85	41	46	32	75	51	51	45	39	51	51	37	57	7	65	60	85	41	46	32	75	63	71	51	39	51	53	37	57	7	65	60	40	33	62	72	48	67	41	81	61
Jordan	Morgan	3	20	6-8	240	5	20	12	63	0	85	64	39	2	45	51	42	39	45	45	54	47	56	5	51	45	85	64	39	2	45	51	42	39	46	47	54	47	56	5	56	46	64	48	39	77	82	64	89	90	79
Mike	Morrison	4	22	6-9	222	5	20	12	63	0	85	51	37	1	50	44	41	42	54	61	54	47	41	3	56	57	85	51	37	1	50	44	41	42	54	61	54	47	41	3	56	57	92	41	91	82	67	67	48	66	59
Tyrone	Nash	3	23	6-8	232	5	20	32	42	1	85	54	42	30	62	44	41	42	52	58	54	31	52	8	51	42	85	54	42	30	62	44	41	42	52	58	54	31	52	8	51	42	75	36	59	41	36	59	52	68	73
Tom	Pritchard	4	21	6-9	250	5	20	12	63	0	85	47	44	28	67	47	43	47	53	62	53	41	59	6	52	63	85	47	44	28	67	54	43	47	53	62	53	41	59	6	52	63	90	39	37	75	39	34	79	87	74
Glen	Rice	2	21	6-5	206	2	5	17	36	40	85	44	44	32	65	45	47	47	30	36	39	20	48	2	54	60	85	44	44	32	65	53	51	52	31	37	46	20	58	2	66	60	46	65	98	54	62	35	88	74	99
Thomas	Robinson	4	21	6-8	244	10	41	10	36	3	85	52	42	35	65	65	43	38	70	73	52	43	51	7	45	61	85	52	42	35	65	90	43	38	82	94	57	43	57	16	64	65	84	86	78	94	86	54	39	85	56
Joey	Rodriguez	1	23	5-10	175	2	5	17	31	45	85	41	40	35	63	54	62	57	25	37	54	29	56	7	67	61	85	41	40	35	63	54	62	57	25	37	54	29	56	7	67	61	92	95	42	51	30	61	95	93	75
Assane	Sene	5	22	7-0	239	10	35	2	53	0	85	50	37	2	68	50	30	35	50	54	56	56	47	7	32	47	85	50	37	2	68	50	30	35	50	54	56	71	47	7	32	47	54	66	81	46	39	44	46	44	53
Henry	Sims	5	22	6-11	241	10	52	2	35	1	85	44	46	27	71	61	52	41	51	53	43	47	62	16	75	90	85	44	46	27	71	84	74	48	56	56	49	49	62	16	75	94	40	67	30	48	54	66	89	83	42
EJ	Singler	3	21	6-6	210	5	20	12	43	20	85	47	41	38	92	47	38	39	41	42	46	32	47	4	62	64	85	47	41	38	92	47	38	39	41	42	46	32	47	4	62	64	35	47	59	97	74	81	98	44	42
Tristan	Thompson	4	21	6-9	227	5	20	12	63	0	85	44	40	1	45	53	40	32	60	65	62	53	53	7	39	63	85	44	40	1	45	87	40	32	71	89	76	66	53	23	51	63	61	59	39	86	36	92	81	82	74
Brandon	Triche	2	21	6-4	198	2	5	17	31	45	85	46	41	33	84	50	50	50	30	35	53	22	52	4	62	61	85	46	41	33	84	61	59	54	30	35	53	22	62	4	72	86	41	53	95	95	69	59	73	78	41
Jeremy	Tyler	5	20	6-10	265	10	20	10	55	5	85	58	29	2	68	42	34	28	41	48	42	49	39	6	43	49	85	58	29	2	68	78	47	48	66	71	65	69	61	12	72	67	42	62	73	52	71	64	78	55	88
Nikola	Vucevic	4	21	7-0	260	5	20	12	44	19	85	57	44	34	65	59	54	57	53	60	56	56	47	12	75	80	85	57	44	34	65	68	54	57	56	68	56	56	47	12	75	80	47	60	83	97	38	73	73	52	36
Wesley	Witherspoon	3	22	6-9	210	5	20	12	35	28	85	45	41	35	67	41	32	37	41	42	54	37	57	3	57	53	85	45	41	35	67	46	32	37	41	42	54	37	57	3	57	53	64	42	82	45	38	80	39	98	50
Brandon	Young	2	20	6-3	175	2	5	17	44	32	85	44	40	31	65	54	49	53	34	45	51	30	47	6	74	52	85	44	40	31	65	54	49	53	34	45	51	30	47	6	74	52	54	60	73	79	89	85	56	97	50
